Москва;Ивана Франко ул., д. 38, кор. 1;;;;Лента;Супермаркет
Москва;Ильинское ш., д. 14, кор. 1 (Красногорск);;;;Лента;Супермаркет
Москва;Карла Маркса ул., д. 6 (Клин);;;;Лента;Супермаркет
Москва;Красных Зорь ул., д. 19;;;;Лента;Супермаркет
Москва;Курыжова ул., д. 11 (Домодедово);;;;Лента;Супермаркет
Москва;Ленина ул., д. 44A (Орехово-Зуево);;;;Лента;Супермаркет
Москва;Московская ул., д. 58, к. 2 (Долгопрудный);;;;Лента;Супермаркет
Москва;Люблинская ул., д. 61;;;;Лента;Супермаркет
Москва;Новосходненского ш. 6-й км (Химки);;;;Лента;Супермаркет
Москва;Пионерская ул., д. 19, кор. 3 (Королёв);;;;Лента;Супермаркет
Москва;Привольная ул., д. 65/32;;;;Лента;Супермаркет
Москва;Привольная ул., д. 8;;;;Лента;Супермаркет
Москва;Пришвина ул., д. 3Г;;;;Лента;Супермаркет
Москва;Советская ул., д. 4, стр. 4 (Егорьевск);;;;Лента;Супермаркет
Москва;Твардовского ул., д. 2, кор. 4, стр. 1;;;;Лента;Супермаркет
Москва;Трёхгорная ул., д. 4 (Трёхгорка);;;;Лента;Супермаркет
Москва;Тушинская ул., д. 17;;;;Лента;Супермаркет
Москва;Юбилейный пр., д. 2A (Реутов);;;;Лента;Супермаркет
Мурманск;Шевченко ул., д. 34 ;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Набережные Челны;Автозаводский пр., д. 62;;;;Лента;Гипермаркет
Нижнекамск;Лесная ул., д. 14;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Нижний Новгород;Ореховская ул., д. 15, кор. 1;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Нижний Новгород;Московское ш., д. 30;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Нижний Новгород;Родионова ул., д. 200;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
